report_date,commodity,location,delivery,sale_type,basis_low,basis_high,futures_month,futures_month_high,basis_change,price_change,price_low,price_high,average,year_ago,freight
2026-08-11,Wheat,Gulf Coast Ports,Sep¹,Bid,50.0,75.0,9,9,UNCH,DN 0.1025,6.8025,7.0525,6.9275,5.5,CIF-B
2026-08-12,Corn,Gulf Coast Ports,Aug²,Bid,99.0,99.0,9,9,UNCH,UP 0.2025,5.56,5.56,5.56,,CIF-B
2026-08-12,Corn,Gulf Coast Ports,Current,Bid,97.0,99.0,9,9,UNCH,UP 0.2025,5.54,5.56,5.55,4.545,CIF-B
2026-08-12,Corn,Gulf Coast Ports,Dec,Bid,85.0,97.0,12,12,UNCH,UP 0.2025,5.6575,5.7775,5.7175,4.7925,CIF-B
2026-08-12,Corn,Gulf Coast Ports,Nov,Bid,100.0,101.0,12,12,UNCH,UP 0.2025,5.8075,5.8175,5.8125,,CIF-B
2026-08-12,Corn,Gulf Coast Ports,Oct,Bid,101.0,103.0,12,12,UNCH,UP 0.2025,5.8175,5.8375,5.8275,4.8425,CIF-B
2026-08-12,Corn,Gulf Coast Ports,Sep²,Bid,114.0,117.0,9,9,UNCH,UP 0.2025,5.71,5.74,5.725,4.665,CIF-B
2026-08-12,Corn,Gulf Coast Ports,Sep¹,Bid,110.0,114.0,9,9,UNCH,UP 0.2025,5.67,5.71,5.69,4.62,CIF-B
2026-08-12,Soybeans,Gulf Coast Ports,Current,Bid,95.0,100.0,8,11,UNCH,UP 0.1725-UP 0.1450,12.5975,12.8325,12.715,11.0425,CIF-B
2026-08-12,Soybeans,Gulf Coast Ports,Dec,Bid,101.0,105.0,1,1,UNCH,UP 0.1475,13.0,13.04,13.02,11.3125,CIF-B
2026-08-12,Soybeans,Gulf Coast Ports,Nov²,Bid,115.0,117.0,11,11,UNCH,UP 0.1450,12.9825,13.0025,12.9925,11.1275,CIF-B
2026-08-12,Soybeans,Gulf Coast Ports,Nov¹,Bid,114.0,115.0,11,11,UNCH,UP 0.1450,12.9725,12.9825,12.9775,11.0975,CIF-B
2026-08-12,Soybeans,Gulf Coast Ports,Oct,Bid,105.0,105.0,11,11,UNCH,UP 0.1450,12.8825,12.8825,12.8825,11.0475,CIF-B
2026-08-12,Soybeans,Gulf Coast Ports,Sep²,Bid,100.0,102.0,11,11,UNCH,UP 0.1450,12.8325,12.8525,12.8425,11.0475,CIF-B
