Date,commodity,price_brl,unit
2026-06-18,Soybean (ESALQ/B3 Paranaguá),2223.17,BRL/MT
2026-06-19,Soybean (CEPEA),2077.5,BRL/MT
2026-06-19,Soybean (CONAB PR farmgate),1860.0,BRL/MT
2026-06-19,Soybean (ESALQ/B3 Paranaguá),2214.0,BRL/MT
2026-06-22,Soybean (CEPEA),2092.67,BRL/MT
2026-06-22,Soybean (ESALQ/B3 Paranaguá),2213.5,BRL/MT
2026-06-23,Soybean (CEPEA),2099.33,BRL/MT
2026-06-23,Soybean (ESALQ/B3 Paranaguá),2225.0,BRL/MT
2026-06-24,Soybean (CEPEA),2110.17,BRL/MT
2026-06-24,Soybean (ESALQ/B3 Paranaguá),2239.17,BRL/MT
2026-06-25,Soybean (CEPEA),2125.0,BRL/MT
2026-06-25,Soybean (ESALQ/B3 Paranaguá),2235.83,BRL/MT
2026-06-26,Soybean (CEPEA),2127.33,BRL/MT
2026-06-26,Soybean (CONAB PR farmgate),1890.0,BRL/MT
2026-06-26,Soybean (ESALQ/B3 Paranaguá),2231.17,BRL/MT
2026-06-29,Soybean (CEPEA),2126.5,BRL/MT
2026-06-29,Soybean (ESALQ/B3 Paranaguá),2231.67,BRL/MT
2026-06-30,Soybean (CEPEA),2123.83,BRL/MT
2026-06-30,Soybean (ESALQ/B3 Paranaguá),2226.33,BRL/MT
2026-07-01,Soybean (CEPEA),2130.33,BRL/MT
2026-07-01,Soybean (ESALQ/B3 Paranaguá),2238.67,BRL/MT
2026-07-02,Soybean (CEPEA),2131.17,BRL/MT
2026-07-02,Soybean (ESALQ/B3 Paranaguá),2251.33,BRL/MT
2026-07-03,Soybean (CEPEA),2140.17,BRL/MT
2026-07-03,Soybean (CONAB PR farmgate),1910.0,BRL/MT
2026-07-03,Soybean (ESALQ/B3 Paranaguá),2257.5,BRL/MT
2026-07-06,Soybean (CEPEA),2165.5,BRL/MT
2026-07-06,Soybean (ESALQ/B3 Paranaguá),2316.83,BRL/MT
2026-07-07,Soybean (CEPEA),2200.67,BRL/MT
2026-07-07,Soybean (ESALQ/B3 Paranaguá),2328.5,BRL/MT
2026-07-08,Soybean (CEPEA),2208.67,BRL/MT
2026-07-08,Soybean (ESALQ/B3 Paranaguá),2340.0,BRL/MT
2026-07-09,Soybean (CEPEA),2211.5,BRL/MT
2026-07-09,Soybean (ESALQ/B3 Paranaguá),2337.5,BRL/MT
2026-07-10,Soybean (CEPEA),2209.67,BRL/MT
2026-07-10,Soybean (CONAB PR farmgate),1960.0,BRL/MT
2026-07-10,Soybean (ESALQ/B3 Paranaguá),2340.67,BRL/MT
2026-07-13,Soybean (CEPEA),2221.83,BRL/MT
2026-07-13,Soybean (ESALQ/B3 Paranaguá),2347.67,BRL/MT
2026-07-14,Soybean (CEPEA),2215.67,BRL/MT
2026-07-14,Soybean (ESALQ/B3 Paranaguá),2343.83,BRL/MT
2026-07-15,Soybean (CEPEA),2219.0,BRL/MT
2026-07-15,Soybean (ESALQ/B3 Paranaguá),2333.17,BRL/MT
2026-07-16,Soybean (CEPEA),2232.33,BRL/MT
2026-07-16,Soybean (ESALQ/B3 Paranaguá),2343.0,BRL/MT
2026-07-17,Soybean (CEPEA),2235.17,BRL/MT
2026-07-17,Soybean (CONAB PR farmgate),1980.0,BRL/MT
2026-07-17,Soybean (ESALQ/B3 Paranaguá),2350.33,BRL/MT
2026-07-20,Soybean (CEPEA),2262.17,BRL/MT
2026-07-20,Soybean (ESALQ/B3 Paranaguá),2377.5,BRL/MT
2026-07-21,Soybean (CEPEA),2279.5,BRL/MT
2026-07-21,Soybean (ESALQ/B3 Paranaguá),2402.83,BRL/MT
2026-07-22,Soybean (CEPEA),2297.33,BRL/MT
2026-07-22,Soybean (ESALQ/B3 Paranaguá),2424.17,BRL/MT
2026-07-23,Soybean (CEPEA),2321.33,BRL/MT
2026-07-23,Soybean (ESALQ/B3 Paranaguá),2457.83,BRL/MT
2026-07-24,Soybean (CEPEA),2337.67,BRL/MT
2026-07-24,Soybean (CONAB PR farmgate),2050.0,BRL/MT
2026-07-24,Soybean (ESALQ/B3 Paranaguá),2472.83,BRL/MT
2026-07-27,Soybean (AgRural Paranaguá FOB),2450.0,BRL/MT
2026-07-27,Soybean (CEPEA),2343.0,BRL/MT
2026-07-27,Soybean (ESALQ/B3 Paranaguá),2462.5,BRL/MT
2026-07-28,Soybean (CEPEA),2333.67,BRL/MT
2026-07-28,Soybean (ESALQ/B3 Paranaguá),2464.83,BRL/MT
2026-07-29,Soybean (AgRural Paranaguá FOB),2416.67,BRL/MT
2026-07-29,Soybean (CEPEA),2316.67,BRL/MT
2026-07-29,Soybean (ESALQ/B3 Paranaguá),2446.83,BRL/MT
2026-07-30,Soybean (AgRural Paranaguá FOB),2450.0,BRL/MT
2026-07-30,Soybean (CEPEA),2297.0,BRL/MT
2026-07-30,Soybean (ESALQ/B3 Paranaguá),2421.5,BRL/MT
2026-07-31,Soybean (AgRural Paranaguá FOB),2408.33,BRL/MT
2026-07-31,Soybean (CEPEA),2287.83,BRL/MT
2026-07-31,Soybean (CONAB PR farmgate),2060.0,BRL/MT
2026-07-31,Soybean (ESALQ/B3 Paranaguá),2415.17,BRL/MT
2026-08-03,Soybean (AgRural Paranaguá FOB),2400.0,BRL/MT
2026-08-03,Soybean (CEPEA),2277.67,BRL/MT
2026-08-03,Soybean (ESALQ/B3 Paranaguá),2400.67,BRL/MT
2026-08-04,Soybean (CEPEA),2267.17,BRL/MT
2026-08-04,Soybean (ESALQ/B3 Paranaguá),2402.0,BRL/MT
2026-08-05,Soybean (AgRural Paranaguá FOB),2416.67,BRL/MT
2026-08-05,Soybean (CEPEA),2278.83,BRL/MT
2026-08-05,Soybean (ESALQ/B3 Paranaguá),2415.17,BRL/MT
2026-08-06,Soybean (AgRural Paranaguá FOB),2416.67,BRL/MT
2026-08-06,Soybean (CEPEA),2291.67,BRL/MT
2026-08-06,Soybean (ESALQ/B3 Paranaguá),2416.33,BRL/MT
2026-08-07,Soybean (AgRural Paranaguá FOB),2433.33,BRL/MT
2026-08-07,Soybean (CEPEA),2288.83,BRL/MT
2026-08-07,Soybean (CONAB PR farmgate),2070.0,BRL/MT
