week_ending,region,port_area,commodity,inspections_mt
2026-08-20,INTERIOR,INTERIOR,Corn Yellow,251614.0
2026-08-20,INTERIOR,INTERIOR,Rye,0.0
2026-08-20,INTERIOR,INTERIOR,Sorghum,979.0
2026-08-20,INTERIOR,INTERIOR,Soybeans,74629.0
2026-08-20,INTERIOR,INTERIOR,Wheat,37116.0
2026-08-20,INTERIOR,SUBTOTAL,Corn White,0.0
2026-08-20,INTERIOR,SUBTOTAL,Corn Yellow,251614.0
2026-08-20,INTERIOR,SUBTOTAL,Rye,0.0
2026-08-20,INTERIOR,SUBTOTAL,Sorghum,979.0
2026-08-20,INTERIOR,SUBTOTAL,Soybeans,74629.0
2026-08-20,INTERIOR,SUBTOTAL,Wheat,37116.0
2026-08-20,PACIFIC,COLUMBIA R.,Corn White,0.0
2026-08-20,PACIFIC,COLUMBIA R.,Corn Yellow,306842.0
2026-08-20,PACIFIC,COLUMBIA R.,Rye,0.0
2026-08-20,PACIFIC,COLUMBIA R.,Sorghum,0.0
2026-08-20,PACIFIC,COLUMBIA R.,Soybeans,0.0
2026-08-20,PACIFIC,COLUMBIA R.,Wheat,343189.0
2026-08-20,PACIFIC,PUGET SOUND,Corn White,0.0
2026-08-20,PACIFIC,PUGET SOUND,Corn Yellow,72037.0
2026-08-20,PACIFIC,PUGET SOUND,Rye,0.0
2026-08-20,PACIFIC,PUGET SOUND,Sorghum,0.0
2026-08-20,PACIFIC,PUGET SOUND,Soybeans,0.0
2026-08-20,PACIFIC,PUGET SOUND,Wheat,686.0
2026-08-20,PACIFIC,SUBTOTAL,Corn White,0.0
2026-08-20,PACIFIC,SUBTOTAL,Corn Yellow,378879.0
2026-08-20,PACIFIC,SUBTOTAL,Rye,0.0
2026-08-20,PACIFIC,SUBTOTAL,Sorghum,0.0
2026-08-20,PACIFIC,SUBTOTAL,Soybeans,0.0
2026-08-20,PACIFIC,SUBTOTAL,Wheat,343875.0
