week_ending,region,country,commodity,inspections_mt
2026-07-30,PACIFIC,KOREA REP,Corn Yellow,345949.0
2026-07-30,PACIFIC,KOREA REP,Sorghum,0.0
2026-07-30,PACIFIC,KOREA REP,Soybeans,0.0
2026-07-30,PACIFIC,KOREA REP,Wheat,90198.0
2026-07-30,PACIFIC,PHILIPPINES,Corn White,0.0
2026-07-30,PACIFIC,PHILIPPINES,Corn Yellow,0.0
2026-07-30,PACIFIC,PHILIPPINES,Sorghum,0.0
2026-07-30,PACIFIC,PHILIPPINES,Soybeans,0.0
2026-07-30,PACIFIC,PHILIPPINES,Wheat,57815.0
2026-07-30,PACIFIC,SUBTOTAL,Corn White,0.0
2026-07-30,PACIFIC,SUBTOTAL,Corn Yellow,649404.0
2026-07-30,PACIFIC,SUBTOTAL,Sorghum,9001.0
2026-07-30,PACIFIC,SUBTOTAL,Soybeans,0.0
2026-07-30,PACIFIC,SUBTOTAL,Wheat,256592.0
2026-07-30,PACIFIC,TAIWAN,Corn White,0.0
2026-07-30,PACIFIC,TAIWAN,Corn Yellow,72746.0
2026-07-30,PACIFIC,TAIWAN,Sorghum,0.0
2026-07-30,PACIFIC,TAIWAN,Soybeans,0.0
2026-07-30,PACIFIC,TAIWAN,Wheat,41490.0
2026-07-30,PACIFIC,THAILAND,Corn White,0.0
2026-07-30,PACIFIC,THAILAND,Corn Yellow,0.0
2026-07-30,PACIFIC,THAILAND,Sorghum,0.0
2026-07-30,PACIFIC,THAILAND,Soybeans,0.0
2026-07-30,PACIFIC,THAILAND,Wheat,67089.0
